Precinct Name,PRCT,MCDName,MCD,FIPS,CountyID,USPRESR,USPRESDFL,USPRESGP,USPRESSWP,USPRESIND,USPRESLIB,USPRESCP,USPRESWI,USPRESTOT,CONGIP,CONGR,CONGDFL,CONGWI,CONGTOT,MNSENR,MNSENDFL,MNSENWI,MNSENTOT,MNLEGIP,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOT,CTUPRE,SPVI
AITKIN,0005,Aitkin,004,460,1,499,501,2,0,12,3,1,2,1020,0,362,627,3,992,,,,,0,412,567,6,985,460:5,-7
AITKIN TWP,0010,Aitkin Twp,005,478,1,294,205,0,0,8,3,1,1,512,0,236,261,1,498,,,,,0,245,252,1,498,478:10,8
BALL BLUFF TWP,0015,Ball Bluff Twp,015,3358,1,81,98,1,0,5,1,0,0,186,0,56,126,0,182,,,,,0,54,125,0,179,3358:15,-24
BALSAM TWP,0020,Balsam Twp,020,3412,1,14,16,0,0,0,0,0,0,30,0,9,20,0,29,,,,,0,7,22,0,29,3412:20,-29
BEAVER TWP,0025,Beaver Twp,025,4384,1,8,25,0,0,0,0,0,0,33,0,6,26,0,32,,,,,0,6,28,0,34,4384:25,-58
CLARK TWP,0030,Clark Twp,030,11620,1,53,50,0,0,1,0,0,1,105,0,35,67,0,102,,,,,0,30,68,0,98,11620:30,-17
CORNISH TWP,0035,Cornish Twp,035,13330,1,5,14,0,0,1,0,1,0,21,0,4,16,1,21,,,,,0,3,18,0,21,13330:35,-56
UNORG 47-24 (DAVIDSON UNORG),0038,Davidson Unorganized,038,14903,1,9,14,0,0,0,0,1,0,24,0,6,17,0,23,,,,,0,6,16,0,22,14903:38,-32
FARM ISLAND TWP,0040,Farm Island Twp,040,20654,1,398,331,0,0,13,1,1,3,747,0,312,418,0,730,,,,,0,327,401,0,728,20654:40,0
FLEMING TWP,0045,Fleming Twp,045,21230,1,123,102,2,1,2,0,0,2,232,0,93,135,0,228,,,,,0,96,128,1,225,21230:45,-2
GLEN TWP,0050,Glen Twp,050,23930,1,147,164,0,0,1,0,0,1,313,0,96,206,0,302,,,,,0,108,178,0,286,23930:50,-14
HAUGEN TWP,0055,Haugen Twp,055,27602,1,51,60,0,0,3,2,0,0,116,0,42,74,0,116,,,,,0,42,70,1,113,27602:55,-16
HAZELTON TWP,0060,Hazelton Twp,060,28052,1,234,251,1,0,5,3,0,0,494,0,191,299,0,490,,,,,0,197,281,0,478,28052:60,-10
HILL CITY,0065,Hill City,065,29096,1,110,140,2,1,3,2,0,0,258,0,73,176,0,249,,,,,0,93,161,0,254,29096:65,-19
HILL LAKE TWP,0070,Hill Lake Twp,070,29114,1,108,145,0,0,2,0,1,0,256,0,68,185,0,253,,,,,0,84,168,0,252,29114:70,-23
