"ID,N,12,0","DATA,N,12,0","DISTRICT,C,12","MEMBERS,N,8,1","LOCKED,C,1","NAME,C,43","POPULATION,N,11,0","HISPANIC_O,N,11,0","NH_WHT,N,11,0","NH_DOJ_BLK,N,11,0","NH_DOJ_IND,N,11,0","NH_DOJ_ASN,N,11,0","NH_DOJ_HWN,N,11,0","NH_DOJ_OTH,N,11,0","NH_DOJ_OT1,N,11,0","F18_POP,N,11,0","H18_POP,N,11,0","NH18_WHT,N,11,0","NH18_DOJ_B,N,11,0","NH18_DOJ_I,N,11,0","NH18_DOJ_A,N,11,0","NH18_DOJ_H,N,11,0","NH18_DOJ_O,N,11,0","NH18_DOJ_1,N,11,0","DEM_INDEX,N,16,3","REP_INDEX,N,16,3","THIRD_INDE,N,16,3","INDEX_VOTE,N,16,3","IDEAL_VALU,N,12,4","DEVIATION,N,12,4","F_DEVIATIO,N,12,4","F_HISPANIC,N,12,4","F_NH_WHT,N,12,4","F_NH_DOJ_B,N,12,4","F_NH_DOJ_I,N,12,4","F_NH_DOJ_A,N,12,4","F_NH_DOJ_H,N,12,4","F_NH_DOJ_O,N,12,4","F_NH_DOJ_1,N,12,4","F_H18_POP,N,12,4","F_NH18_WHT,N,12,4","F_NH18_DOJ,N,12,4","F_NH18_DO1,N,12,4","F_NH18_DO2,N,12,4","F_NH18_DO3,N,12,4","F_NH18_DO4,N,12,4","F_NH18_DO5,N,12,4","F_DEM_INDE,N,12,4","F_REP_INDE,N,12,4","F_THIRD_IN,N,12,4","COLORING,N,8,0","MEANNUM,N,24,16","MEANSEN,N,24,16","MEANCNG,N,24,16","MEANCOM,N,24,16","MEANJUD,N,24,16","MEANPRE_N,N,24,16","MEANVR_MCD,N,24,16","MEANCTU,N,24,16","MEANp08,N,24,16","MEANleg08,N,24,16","MEANsen08,N,24,16","MEANg10,N,24,16","MEANleg10,N,24,16","MEANpvi,N,24,16","COUNT,N,24,16"
406205,78,"39B",1,,,39447,1036,35618,1277,473,940,11,24,68,30377,646,27672,1046,395,566,8,10,34,0,0,0,0,39582,-135,-0.0034,0.0263,0.9029,0.0324,0.012,0.0238,0.0003,0.0006,0.0017,0.0213,0.911,0.0344,0.013,0.0186,0.0003,0.0003,0.0011,0,0,0,7,271619735.684211,54.2368421053,5.5789473684,2.3947368421,9.7894736842,262,116.6315789474,43100.3947368421,-3.4038525125,2.0965989536,9.6968214975,8.8067158975,11.3542520885,5.7101071849,38
406249,49,"25A",1,,,39426,1198,35548,756,162,1582,39,71,70,27636,632,25500,346,102,964,21,35,36,0,0,0,0,39582,-156,-0.0039,0.0304,0.9016,0.0192,0.0041,0.0401,0.001,0.0018,0.0018,0.0229,0.9227,0.0125,0.0037,0.0349,0.0008,0.0013,0.0013,0,0,0,0,270839146.97619,28.9761904762,1.0952380952,4.1666666667,2.8095238095,99.3571428571,68.2380952381,40854.3333333333,11.5984279947,10.6026800575,18.0240868891,21.3314865399,22.9243967558,16.8962156474,42
406277,41,"21A",1,,,39482,1234,36594,548,646,327,23,28,82,30528,703,28886,262,420,195,16,17,29,0,0,0,0,39582,-100,-0.0025,0.0313,0.9269,0.0139,0.0164,0.0083,0.0006,0.0007,0.0021,0.023,0.9462,0.0086,0.0138,0.0064,0.0005,0.0006,0.001,0,0,0,1,270792633.461538,29.0769230769,1.7115384615,2.8846153846,1.5769230769,325.7692307692,82.0576923077,40247.8076923077,2.9703220068,7.8411086451,6.9289997713,11.1780149816,29.1157087331,11.6068308276,52
406294,50,"25B",1,,,39762,1439,32022,2719,149,3142,31,112,148,30254,854,25569,1466,100,2112,17,60,76,0,0,0,0,39582,180,0.0045,0.0362,0.8053,0.0684,0.0037,0.079,0.0008,0.0028,0.0037,0.0282,0.8451,0.0485,0.0033,0.0698,0.0006,0.002,0.0025,0,0,0,4,271090164.777778,29.1851851852,1,3.7037037037,3,164.7777777778,83.3333333333,48674.3703703704,-8.0103793132,-14.7316237427,5.6276986146,5.7958773678,-1.6213942536,-2.5879642654,27
406320,42,"21B",1,,,39733,1302,37539,277,154,401,16,18,26,29789,735,28554,119,96,254,12,12,7,0,0,0,0,39582,151,0.0038,0.0328,0.9448,0.007,0.0039,0.0101,0.0004,0.0005,0.0007,0.0247,0.9585,0.004,0.0032,0.0085,0.0004,0.0004,0.0002,0,0,0,5,271228206.647059,28.5411764706,1.2352941176,3.2235294118,2.5529411765,89,76.6588235294,42190.8,8.0999704173,5.1588836274,10.0980164388,17.0976386307,26.4500880842,13.3809194397,85
406341,73,"37A",1,,,39553,1617,32940,2303,562,1890,26,51,164,30357,921,26530,1182,354,1248,20,25,77,0,0,0,0,39582,-29,-0.0007,0.0409,0.8328,0.0582,0.0142,0.0478,0.0007,0.0013,0.0041,0.0303,0.8739,0.0389,0.0117,0.0411,0.0007,0.0008,0.0025,0,0,0,2,270118371.323529,49.9117647059,4.6764705882,3.6470588235,9.3529411765,3077.205882353,44.8235294118,17377,-6.8496754085,-14.0837993915,-0.1695947362,-0.4521521609,-1.2537999736,-4.5618043341,34
406378,74,"37B",1,,,39686,1176,32356,1771,338,3836,17,73,119,28658,652,24257,936,224,2486,10,27,66,0,0,0,0,39582,104,0.0026,0.0296,0.8153,0.0446,0.0085,0.0967,0.0004,0.0018,0.003,0.0228,0.8464,0.0327,0.0078,0.0867,0.0003,0.0009,0.0023,0,0,0,6,270078454.115385,50.8461538462,5.8076923077,3.2307692308,9.6923076923,2300.2692307692,30.1923076923,11104.2307692308,-1.6753164261,-1.6306460377,5.6405123528,5.7331696529,8.429905444,3.2995249972,26
406411,83,"42A",1,,,39739,1209,33774,1383,274,2893,23,74,109,31501,727,27678,795,201,1982,17,42,59,0,0,0,0,39582,157,0.004,0.0304,0.8499,0.0348,0.0069,0.0728,0.0006,0.0019,0.0027,0.0231,0.8786,0.0252,0.0064,0.0629,0.0005,0.0013,0.0019,0,0,0,3,270931528.125,51.90625,4.5,2.15625,4,1528.125,87.5,38372.3125,-5.3209466244,-9.7273682512,7.2346344207,4.0131930622,1.1239908662,-0.5352993053,32
406444,62,"31B",1,,,39602,639,37277,326,307,970,12,23,48,29376,331,28086,149,231,539,11,8,21,0,0,0,0,39582,20,0.0005,0.0161,0.9413,0.0082,0.0078,0.0245,0.0003,0.0006,0.0012,0.0113,0.9561,0.0051,0.0079,0.0183,0.0004,0.0003,0.0007,0,0,0,5,270181758.685714,42.9714285714,6.3428571429,2.6,10,3187.2571428572,54.3428571429,28635.8285714286,17.3334615485,19.7426549617,20.3766156089,25.3528939259,33.2118339368,23.2034919964,35
406479,76,"38B",1,,,39598,1045,36187,619,219,1386,28,30,84,30456,590,28467,324,160,850,15,17,33,0,0,0,0,39582,16,0.0004,0.0264,0.9139,0.0156,0.0055,0.035,0.0007,0.0008,0.0021,0.0194,0.9347,0.0106,0.0053,0.0279,0.0005,0.0006,0.0011,0,0,0,4,271217741.724138,52.8620689655,4.6206896552,2.6206896552,5.0344827586,1534.8275862069,126.2068965517,50245.2413793104,1.328301469,8.5693906573,15.8453343756,13.6535119101,15.789086224,11.0371249272,29
