"DISTRICT,C,12","MEANp08,N,24,16","MEANleg08,N,24,16","MEANsen08,N,24,16","MEANg10,N,24,16","MEANleg10,N,24,16","MEANpvi,N,24,16"
39B,-3.4038525125,2.0965989536,9.6968214975,8.8067158975,11.3542520885,5.7101071849
25A,11.5984279947,10.6026800575,18.0240868891,21.3314865399,22.9243967558,16.8962156474
21A,2.9703220068,7.8411086451,6.9289997713,11.1780149816,29.1157087331,11.6068308276
25B,-8.0103793132,-14.7316237427,5.6276986146,5.7958773678,-1.6213942536,-2.5879642654
21B,8.0999704173,5.1588836274,10.0980164388,17.0976386307,26.4500880842,13.3809194397
37A,-6.8496754085,-14.0837993915,-0.1695947362,-0.4521521609,-1.2537999736,-4.5618043341
37B,-1.6753164261,-1.6306460377,5.6405123528,5.7331696529,8.429905444,3.2995249972
42A,-5.3209466244,-9.7273682512,7.2346344207,4.0131930622,1.1239908662,-0.5352993053
31B,17.3334615485,19.7426549617,20.3766156089,25.3528939259,33.2118339368,23.2034919964
38B,1.328301469,8.5693906573,15.8453343756,13.6535119101,15.789086224,11.0371249272
38A,6.1303621224,12.3994885592,15.8112812243,17.0614624582,22.5866778806,14.7978544489
39A,4.6337830664,13.9705411248,13.6014074774,14.2552869213,23.1527018868,13.9227440953
32B,9.8440881251,2.6706566353,12.8458690645,15.9292609564,20.5386352414,12.3657020045
32A,14.7249834602,5.0453481549,13.4912725939,17.769402135,17.1648515297,13.6391715747
11B,-0.5766636146,-11.1848702345,-1.5514210085,1.9276197103,3.741610384,-1.5287449527
08A,10.9462656371,9.4253131255,19.1416715385,17.8555318151,23.8290669537,16.239569814
04B,-11.1890440461,-34.6939667077,5.039063352,-1.8913330465,-17.2672596681,-12.0005080233
02B,3.6451797192,-11.8526040028,7.8637478787,4.9733574456,2.5941260706,1.4447614222
01B,-1.2914718997,-15.6901107098,8.5692139491,-1.1743884801,1.4335508648,-1.6306412551
08B,12.9993241625,11.0721478366,16.49539013,17.5883422116,28.207732037,17.2725872755
09A,16.7820924968,0.7612620046,15.4019593738,19.2300640511,20.4296452376,14.5210046328
02A,7.8112868409,-1.7370222668,9.1235342027,3.0966229383,8.7808345172,5.4150512464
01A,-0.6570208901,-13.2757796146,9.0076842986,-5.4211624564,4.9264627588,-1.0839631807
10A,11.6911936948,-10.349979662,12.7949231303,14.0582229012,2.6938425023,6.1776405133
05B,1.1737571653,-5.3848931095,1.3827764782,-2.4948665021,3.9706365866,-0.2705178763
10B,1.638964655,-17.9922104825,-1.0667851272,0.6283837741,-0.0852375576,-3.3753769477
05A,3.5593792463,-1.6942409861,4.2222933619,11.3952584012,14.890720545,6.4746821137
11A,-29.8317740815,-36.6688697705,-23.2193212335,-31.1034515133,-24.0535606095,-28.9753954417
06A,-23.0937056385,-34.0303434587,-20.110205498,-28.2589521589,-25.7450930946,-26.2476599697
06B,-28.0435648251,-46.7628517221,-24.146744391,-32.0189267162,-34.060334804,-33.0064844917
28B,-4.9010930898,1.2453139393,4.4985884094,8.1182306673,21.4958645518,6.0913808956
28A,-12.3137797246,-17.3408611945,-1.8895171095,2.6169323386,2.3680236247,-5.3118404131
07B,-40.4264347473,-44.655813995,-28.5665899878,-39.7989975211,-37.3545067605,-38.1604686023
03B,-28.0269994619,-35.0527110965,-16.845976991,-27.0417208564,-27.1034092331,-26.8141635278
07A,-37.9988480063,-37.4503912682,-21.0808693457,-35.3050296803,-32.7788992242,-32.9228075049
03A,-8.9787008562,-28.3490591414,-4.4113230494,-15.6376766365,-18.3928210601,-15.1539161487
04A,-13.125778632,2.8356531303,6.6781413532,-0.4446572518,9.3641101362,1.0614937472
