Precinct Name,CTUPRE,GRPER,GDPER,SPVI
AITKIN,460:5,39.15,43.25,-4.0
AITKIN TWP,478:10,52.01,33.92,18.0
BALL BLUFF TWP,3358:15,35.66,52.45,-17.0
BALSAM TWP,3412:20,21.74,60.87,-39.0
BEAVER TWP,4384:25,15.15,66.67,-52.0
CLARK TWP,11620:30,30.56,55.56,-25.0
CORNISH TWP,13330:35,15.0,45.0,-30.0
UNORG 47-24 (DAVIDSON UNORG),14903:38,46.67,53.33,-7.0
FARM ISLAND TWP,20654:40,43.68,41.71,2.0
FLEMING TWP,21230:45,46.03,36.51,10.0
GLEN TWP,23930:50,42.42,45.45,-3.0
HAUGEN TWP,27602:55,42.7,42.7,0.0
HAZELTON TWP,28052:60,42.55,42.08,0.0
HILL CITY,29096:65,38.36,47.95,-10.0
HILL LAKE TWP,29114:70,31.87,56.59,-25.0
IDUN TWP,30788:75,37.21,47.67,-10.0
JEVNE TWP,31958:80,58.54,35.77,23.0
UNORG 45-24 (JEWETT UNORG),31966:82,38.89,55.56,-17.0
KIMBERLY TWP,33218:85,40.0,47.78,-8.0
LAKESIDE TWP,34982:90,44.49,41.34,3.0
LEE TWP,36152:95,46.67,33.33,13.0
LIBBY TWP E,36908:100,40.0,40.0,0.0
LIBBY TWP W,36908:105,0.0,63.64,-64.0
LOGAN TWP,37844:110,41.11,50.0,-9.0
MCGRATH,38996:115,42.5,42.5,0.0
MCGREGOR,39014:120,40.37,52.29,-12.0
MCGREGOR TWP,39032:125,48.65,45.95,3.0
MACVILLE TWP,39212:130,36.0,52.0,-16.0
MILLWARD TWP,42300:132,47.37,47.37,0.0
MALMO TWP,39590:135,36.2,49.69,-13.0
MORRISON TWP,44278:140,52.05,27.4,25.0
NORDLAND TWP,46546:145,40.97,44.36,-3.0
PALISADE,49498:150,29.41,51.76,-22.0
PLINY TWP,51694:155,67.5,20.0,48.0
RICE RIVER TWP,54106:160,48.05,36.36,12.0
SALO TWP,58270:165,31.25,62.5,-31.0
SEAVEY TWP,59134:170,64.0,36.0,28.0
SHAMROCK TWP,59368:175,42.58,45.76,-3.0
SPALDING TWP,61546:180,24.62,56.92,-32.0
SPENCER TWP,61654:185,46.95,37.4,10.0
TAMARACK,64156:190,37.93,51.72,-14.0
TURNER TWP,65722:195,41.35,49.04,-8.0
VERDON TWP,66748:200,52.94,41.18,12.0
WAGNER TWP,67540:205,49.13,34.1,15.0
WAUKENABO TWP,68692:210,43.56,44.17,-1.0
WEALTHWOOD TWP,68872:215,33.33,54.76,-21.0
WHITE PINE TWP,70132:220,45.45,40.91,5.0
WILLIAMS TWP,70384:225,42.37,50.85,-8.0
WORKMAN TWP,71716:230,39.33,47.19,-8.0
NE AITKIN UNORG,46890:240,60.87,21.74,39.0
UNORG 48-27 (BLIND LAKE UNORG),47342:255,29.41,64.71,-35.0
NW AITKIN UNORG P-2,47342:260,30.77,61.54,-31.0
UNORG 51-27 (LEMAY UNORG),47342:285,54.55,27.27,27.0
NW AITKIN UNORG P-1,47342:290,55.56,33.33,22.0
ANDOVER P-1,1486:1010,61.45,28.99,32.0
ANDOVER P-2,1486:1020,57.23,30.92,26.0
ANDOVER P-3,1486:1030,52.75,33.92,19.0
ANDOVER P-4,1486:1040,55.75,33.42,22.0
