District,pvi,rpvi,incumb1,i1party,incumb2,i2party
01B,-4.032051282,D+04,Debra Kiel,R,,
05A,7.171717172,R+07,Larry Howes,R,John Persell,DFL
05B,-0.514563107,D+01,Carolyn McElfatrick,R,Tom Anzele,DFL
10A,4.674418605,R+05,John Ward,DFL,,
11B,24.85526316,R+25,Roger Crawford,R,Bill Hilty,DFL
19A,13.26086957,R+13,Terry Morrow,DFL,,
21A,12.78846154,R+13,Tim Kelly,DFL,,
24A,2.657142857,R+03,Kory Kath,DFL,,
24B,8.035087719,R+08,Patti Fritz,DFL,,
27A,-1.68115942,D+02,Rich Murray,R,,
45A,1.848484849,R+02,Lyndon Carlson Sr.,DFL,,
49A,-15.51515152,D+16,Keith Downey,R,,
51A,-6.518518519,D+07,Diane Anderson,R,,
