First,Last,Party,2010 District,2012 District,Notes
LeRoy A.,Stumpf,DFL,1,1,
Rod,Skoe,DFL,2,2,
Thomas M.,Bakk,DFL,6,3,
Keith,Langseth,DFL,9,4,Retiring
John J.,Carlson,R,4,5,
Tom,Saxhaug,DFL,3,5,
David J.,Tomassoni,DFL,5,6,
Roger J.,Reinert,DFL,7,7,
Bill G.,Ingebritsen,R,11,8,
Gretchen,Hoffman,R,10,8,"Sen. Gretchen Hoffman, R-Vergas, is running for the 7th congressional district seat. She has not been clear whether this means she will not try to return to the Legislature should her congressional ambitions not come to fruition. Hoffman, who was paired with Sen. Bill Ingebrigtsen, R-Alexandria, in the new political maps, has endorsed him in his run for the 8th district Senate seat."
OPEN DISTRICT,,,,9,
Paul,Gazelka,R,12,10,
Tony,Lourey,DFL,8,11,
OPEN DISTRICT,,,,12,
Michelle,Fischbach,R,14,13,
John,Pederson,R,15,14,
Dave,Brown,R,16,15,
Gary,Dahms,R,21,16,
Gary W.,Kubly,DFL,20,17,Deceased
Joe,Gimse,R,13,17,
Scott,Newman,R,18,18,
Kathy,Sheran,DFL,23,19,
OPEN DISTRICT,,,,20,
John,Howe,R,28,21,
Doug,Magnus,R,22,22,Retiring
Julie A.,Rosen,R,24,23,
Al,DeKruif,R,25,23,Retiring
Mike,Parry,R,26,24,US House Run
Dave,Senjem,R,29,25,
Carla,Nelson,R,30,26,
Dan,Sparks,DFL,27,27,
Jeremy R.,Miller,R,31,28,
Amy,Koch,R,19,29,Retiring
OPEN DISTRICT,,,,30,
Michelle,Benson,R,49,31,
Michael J.,Jungbauer,R,48,31,
Sean,Nienow,R,17,32,
Gen,Olson,R,33,33,Retiring
Warren,Limmer,R,32,34,
OPEN DISTRICT,,,,35,
Benjamin,Kruse,R,47,36,
Pam,Wolf,R,51,37,
Roger C.,Chamberlain,R,53,38,
Ted,Lillie,R,56,39,
Ray,Vandeveer,R,52,39,
Chris,Eaton,DFL,46,40,
Barbara J.,Goodwin,DFL,50,41,
OPEN DISTRICT,,,,42,
Charles W.,Wiger,DFL,55,43,
Terri E.,Bonoff,DFL,43,44,
Ann H.,Rest,DFL,45,45,
Ron,Latz,DFL,44,46,
Julianne E.,Ortman,R,34,47,
David W.,Hann,R,42,48,
Geoff,Michel,R,41,49,Retiring
OPEN DISTRICT,,,,50,
Ted,Daley,R,38,51,
James P.,Metzen,DFL,39,52,
OPEN DISTRICT,,,,53,
Katie,Sieben,DFL,57,54,
Claire A.,Robling,R,35,55,
Dan,Hall,R,40,56,
Chris,Gerlach,R,37,57,Retiring
Dave,Thompson,R,36,58,
Linda I.,Higgins,DFL,58,59,Retiring
Kari,Dziedzic,DFL,59,60,
Ken,Kelash,DFL,63,61,
Scott,Dibble,DFL,60,61,
Jeff,Hayden,DFL,61,62,
Patricia,Torres Ray,DFL,62,63,
Richard J.,Cohen,DFL,64,64,
Sandra L.,Pappas,DFL,65,65,
John,Marty,DFL,54,66,
Mary Jo,McGuire,DFL,66,66,
John M.,Harrington,DFL,67,67,
