District,PVI,RPVI
39B,4.763157895,R+5
25A,16.57142857,R+17
21A,12.78846154,R+13
25B,-4.518518519,D+5
21B,14.2,R+14
37A,-5.411764706,D+5
37B,2.923076923,R+3
42A,29.03125,R+29
31B,23.85714286,R+24
38B,9.689655172,R+10
38A,14.53333333,R+15
39A,14.07407407,R+14
32B,12.2962963,R+12
32A,41.33333333,R+41
11B,24.85526316,R+25
08A,15.40789474,R+15
04B,-16.00877193,D+16
02B,-0.083969466,EVEN
01B,-4.032051282,D+4
08B,17.41111111,R+17
09A,14.26548673,R+14
02A,4.522012579,R+5
01A,2.072222222,R+2
10A,4.674418605,R+5
05B,-0.514563107,D+1
10B,-3.759124088,D+4
05A,7.171717172,R+7
11A,-30.13043478,D+30
06A,-27.40816327,D+27
06B,-34.88311688,D+35
28B,6.580246914,R+7
28A,-5.979166667,D+6
07B,-40.21428571,D+40
03B,-28.95555556,D+29
07A,-35.54545455,D+36
03A,-17.56923077,D+18
04A,-0.25,EVEN
22B,18.11864407,R+18
23A,25.06086957,R+25
22A,14.64393939,R+15
16A,6.412280702,R+6
12A,6.901639344,R+7
16B,30.49473684,R+30
17A,1.257352941,R+1
17B,9.327868853,R+9
12B,30.82417582,R+31
18A,19.53571429,R+20
13A,30,R+30
23B,15.38383838,R+15
27A,-1.68115942,D+2
27B,-10.45283019,D+10
26A,-6.419354839,D+6
26B,7.766666667,R+8
19A,13.26086957,R+13
19B,-9.782608696,D+10
18B,29.25333333,R+29
20A,13.04166667,R+13
24A,2.657142857,R+3
20B,2.4,R+2
47A,34.75675676,R+35
47B,62.9,R+63
33A,44,R+44
34A,21.59375,R+22
34B,11.67647059,R+12
40A,-19.62068966,D+20
36B,-9.032258065,D+9
36A,1.766666667,R+2
35A,17.81481481,R+18
35B,19.2,R+19
31A,55.09090909,R+55
15A,10.765625,R+11
24B,8.035087719,R+8
58A,19.66666667,R+20
56B,9.04,R+9
50B,-14.31034483,D+14
57A,9.444444444,R+9
51A,-6.518518519,D+7
51B,0.538461539,R+1
57B,6.814814815,R+7
50A,-25.32,D+25
61B,-54.64516129,D+55
61A,-51.96875,D+52
62B,-67.17857143,D+67
62A,-68.11538462,D+68
63B,-44.11111111,D+44
63A,-62.78125,D+63
55B,26.18518519,R+26
55A,19.875,R+20
56A,10.73913043,R+11
33B,48.7027027,R+49
48B,58.17391304,R+58
48A,28.40540541,R+28
44B,-2.921052632,D+3
44A,9.178571429,R+9
49B,-1.358974359,D+1
49A,-15.51515152,D+16
46B,-23.27586207,D+23
46A,-25.97058824,D+26
45B,-32.20689655,D+32
45A,1.848484849,R+2
14A,3.939393939,R+4
29A,47.14583333,R+47
29B,23.18181818,R+23
14B,0.857142857,R+1
13B,11.92857143,R+12
09B,24.16470588,R+24
15B,38.44444444,R+38
30B,28.10526316,R+28
30A,26.34782609,R+26
59B,-57.91666667,D+58
59A,-56.34615385,D+56
40B,-28.38461538,D+28
60B,-54.95833333,D+55
60A,-47.2962963,D+47
41B,-25.27586207,D+25
41A,-19.17647059,D+19
64B,-43,D+43
64A,-54.68421053,D+55
52B,-11.38888889,D+11
52A,-25.86206897,D+26
65B,-47.91666667,D+48
66A,-33.51724138,D+34
65A,-58.60714286,D+59
66B,-49.19354839,D+49
42B,-7.794117647,D+8
58B,14.58181818,R+15
54A,-2.121212121,D+2
54B,22.94117647,R+23
67B,-41.8125,D+42
53A,-20,D+20
67A,-42.6,D+43
43A,-13.34210526,D+13
43B,-16.21428571,D+16
53B,5.571428571,R+6
