District,PVI,RPVI,Retire?,Reason,Retiree,Retiree party
53A,-20,D+20,1,Retire,Nora Slawik,DFL
54A,-2.121212121,D+2,1,Retire,John Kriesel,R
55B,26.18518519,R+26,1,Retire,Mark Buesgens,R
57B,6.814814815,R+7,1,U.S. Senate,Kurt Bills,R
59B,-57.91666667,D+58,1,SD59,Bobby Joe Champion,DFL
12A,6.901639344,R+7,1,SD12,Torrey Westrom,R
13A,30,R+30,1,Retire,Larry Hosch,DFL
17A,1.257352941,R+1,1,SD-20 Special Election,Lyle Koenen,DFL
29B,23.18181818,R+23,1,SD19,Bruce Anderson,R
30A,26.34782609,R+26,1,SD30,Mary Kiffmeyer,R
33A,44,R+44,1,SD33,Connie Doepke,R
35B,19.2,R+19,1,SD35,Branden Petersen,R
36A,1.766666667,R+2,1,Retire,Denise Dittrich,DFL
42B,-7.794117647,D+8,1,SD42,Bev Scalze,DFL
49B,-1.358974359,D+1,1,Retire,Pat Mazorol,R
02B,-0.083969466,EVEN,0,,,
09A,14.26548673,R+14,0,,,
10B,-3.759124088,D+4,0,,,
11A,-30.13043478,D+30,0,,,
15B,38.44444444,R+38,0,,,
20B,2.4,R+2,0,,,
30B,28.10526316,R+28,0,,,
32A,41.33333333,R+41,0,,,
32B,12.2962963,R+12,0,,,
37A,-5.411764706,D+5,0,,,
42A,29.03125,R+29,0,,,
43A,-13.34210526,D+13,0,,,
50A,-25.32,D+25,0,,,
58A,19.66666667,R+20,0,,,
