CTUPRE,District,ltr06,ltd06,lot06,ltr08,ltd08,lot08,ltr10,ltd10,lot10
41462:1345,43A,89,112,201,133,124,258,111,111,222
70306:372,03B,0,59,59,31,58,89,24,43,67
59764:125,22A,79,77,156,107,90,197,80,73,153
55438:150,01A,35,25,60,31,34,68,39,16,56
46510:55,01A,74,98,172,97,103,211,98,80,178
1720:1270,48B,491,335,826,681,433,1116,506,258,764
22814:4410,51B,392,566,960,450,704,1159,431,476,908
7912:35,20B,54,39,93,52,35,87,58,21,79
39878:100,23B,19,37,56,20,53,73,16,29,45
43000:1640,61A,92,454,548,106,755,865,67,411,556
48292:105,20A,28,32,60,37,26,63,35,17,52
43000:1645,60A,225,1277,1505,263,1491,1757,245,1197,1445
12160:60,08A,297,545,843,428,657,1088,342,468,811
29222:50,28B,96,98,194,150,180,330,107,63,170
33236:70,22A,4,4,8,4,2,6,4,0,4
46618:155,08A,33,77,110,43,96,139,54,63,117
13456:85,57A,391,663,1100,590,827,1419,552,431,985
12160:65,08A,30,199,231,34,260,295,18,121,140
28718:50,22B,80,81,161,107,68,175,94,38,132
33956:45,02A,15,45,60,20,51,71,30,33,63
31076:2710,39B,296,566,864,352,709,1064,378,484,862
67846:200,21B,121,141,262,162,147,309,186,0,187
54214:2615,63B,404,817,1268,495,1214,1716,378,732,1112
13114:3440,49B,548,651,1199,586,1006,1597,478,619,1128
40724:3210,36B,266,246,513,353,296,654,356,148,506
21140:90,08A,72,89,161,91,134,225,95,79,174
58486:110,34A,232,204,436,312,194,506,265,169,436
14734:50,20A,11,34,45,14,47,61,15,31,46
28070:65,01A,8,21,29,12,32,46,13,21,34
18674:50,16B,545,278,823,754,335,1091,677,222,899
21230:45,03B,0,151,156,96,128,225,96,90,186
18674:55,48A,424,357,781,608,413,1023,524,277,801
4027:46,03A,38,13,54,31,27,65,31,23,54
31166:30,24B,165,139,304,191,161,352,189,78,292
4027:44,03A,106,51,163,56,102,173,71,80,151
4027:45,03A,37,16,54,29,33,65,26,33,59
4027:40,03A,106,48,155,86,116,218,75,76,151
58036:135,23A,338,692,1032,315,955,1271,274,651,927
30572:125,01A,22,15,37,16,17,34,17,18,35
68206:285,01B,24,13,37,22,22,44,27,18,45
44098:810,05A,9,32,41,11,34,45,14,29,43
20330:35,24A,440,132,572,414,222,637,356,196,552
