CTUPRE,leg06,sen06,pvi,rpvi
41462:1345,-11.4427860697,-23.8532110092,-17.6479985394,DFL +18
70306:372,-100.0,-40.5797101449,-70.2898550725,DFL +70
59764:125,1.28205128205,-21.1180124224,-9.91798057015,DFL +10
55438:150,16.6666666667,14.7540983607,15.7103825137,GOP +16
46510:55,-13.9534883721,-4.02298850575,-8.98823843892,DFL +9
1720:1270,18.8861985472,-13.4433962264,2.7214011604,GOP +3
22814:4410,-18.125,-23.6236236236,-20.8743118118,DFL +21
7912:35,16.1290322581,2.10526315789,9.11714770798,GOP +9
39878:100,-32.1428571429,-32.7586206897,-32.4507389163,DFL +32
43000:1640,-66.0583941606,-59.6219931271,-62.8401936439,DFL +63
48292:105,-6.66666666667,-18.3333333333,-12.5,DFL +13
43000:1645,-69.9003322259,-72.0025510204,-70.9514416232,DFL +71
12160:60,-29.418742586,-34.4586728754,-31.9387077307,DFL +32
29222:50,-1.03092783505,-15.7360406091,-8.38348422209,DFL +8
33236:70,0.0,-12.5,-6.25,DFL +6
46618:155,-40.0,-37.1681415929,-38.5840707965,DFL +39
13456:85,-24.7272727273,-22.6749335695,-23.7011031484,DFL +24
12160:65,-73.1601731602,-77.0562770563,-75.1082251082,DFL +75
28718:50,-0.621118012422,6.83229813665,3.10559006211,GOP +3
33956:45,-50.0,-1.66666666667,-25.8333333333,DFL +26
31076:2710,-31.25,-4.10022779043,-17.6751138952,DFL +18
67846:200,-7.63358778626,-17.7777777778,-12.705682782,DFL +13
54214:2615,-32.570977918,-38.4972889233,-35.5341334206,DFL +36
13114:3440,-8.59049207673,-30.9369951535,-19.7637436151,DFL +20
40724:3210,3.89863547758,-14.1001855288,-5.10077502559,DFL +5
21140:90,-10.5590062112,-9.20245398773,-9.88073009946,DFL +10
58486:110,6.42201834862,-4.69798657718,0.862015885721,GOP +1
14734:50,-51.1111111111,-42.2222222222,-46.6666666667,DFL +47
28070:65,-44.8275862069,-37.5,-41.1637931034,DFL +41
18674:50,32.4422843256,19.3889541716,25.9156192486,GOP +26
21230:45,-96.7948717949,-13.1979695431,-54.996420669,DFL +55
18674:55,8.57874519846,8.21917808219,8.39896164033,GOP +8
4027:46,46.2962962963,9.43396226415,27.8651292802,GOP +28
31166:30,8.55263157895,-5.50161812298,1.52550672799,GOP +2
4027:44,33.7423312883,-6.6265060241,13.5579126321,GOP +14
4027:45,38.8888888889,-5.55555555556,16.6666666667,GOP +17
4027:40,37.4193548387,-5.16129032258,16.1290322581,GOP +16
58036:135,-34.3023255814,-36.8015414258,-35.5519335036,DFL +36
30572:125,18.9189189189,-23.0769230769,-2.079002079,DFL +2
68206:285,29.7297297297,7.89473684211,18.8122332859,GOP +19
44098:810,-56.0975609756,-39.0243902439,-47.5609756098,DFL +48
20330:35,53.8461538462,1.57068062827,27.7084172372,GOP +28
58036:130,-50.9170305677,-44.3113772455,-47.6142039066,DFL +48
55870:110,-21.25,1.875,-9.6875,DFL +10
1486:1080,19.3892045455,-0.409836065574,9.48968423994,GOP +9
17000:175,-22.3390275953,-29.5865633075,-25.9627954514,DFL +26
14608:35,17.2413793103,-16.2790697674,0.481154771451,EVEN
9172:15,-16.8316831683,-19.801980198,-18.3168316832,DFL +18
41516:130,-41.4634146341,-29.2682926829,-35.3658536585,DFL +35
8794:1240,-17.0263788969,-24.1112828439,-20.5688308704,DFL +21
11242:10,42.7777777778,12.7071823204,27.7424800491,GOP +28
59350:145,16.6666666667,-3.85487528345,6.40589569161,GOP +6
30104:45,20.4081632653,-5.05050505051,7.6788291074,GOP +8
48814:160,-35.6862745098,-18.5328185328,-27.1095465213,DFL +27
41570:170,53.4416826004,1.33971291866,27.3906977595,GOP +27
17288:1780,-19.5957820738,-30.9401709402,-25.267976507,DFL +25
39878:106,-19.1090269637,-25.1146788991,-22.1118529314,DFL +22
21734:70,-11.8380062305,-5.3125,-8.57525311526,DFL +9
69316:185,1.43737166324,3.56052899288,2.49895032806,GOP +2
39878:105,-42.7601809955,-41.4634146341,-42.1117978148,DFL +42
44656:75,14.8936170213,-4.92957746479,4.98201977824,GOP +5
17288:1890,6.3967611336,-8.1746031746,-0.8889210205,DFL +1
32498:50,12.9757785467,-14.175257732,-0.599739592623,DFL +1
29636:155,46.6666666667,24.8322147651,35.7494407159,GOP +36
71428:425,2.27272727273,-9.40649496081,-3.56688384404,DFL +4
6382:1850,-12.1951219512,-20.1746724891,-16.1848972202,DFL +16
43252:2170,1.95369030391,-10.7092198582,-4.37776477712,DFL +4
54880:145,-5.63866513234,-16.4027149321,-11.0206900322,DFL +11
43252:2175,-4.56852791878,-17.8217821782,-11.1951550485,DFL +11
54880:140,-3.6170212766,-19.1176470588,-11.3673341677,DFL +11
3178:20,-40.350877193,-22.4137931034,-31.3823351482,DFL +31
604:5,-12.7906976744,-22.619047619,-17.7048726467,DFL +18
53026:6410,32.3711340206,3.46534653465,17.9182402776,GOP +18
62320:90,-10.3274559194,-5.02392344498,-7.67568968219,DFL +8
50056:105,19.4029850746,8.82352941176,14.1132572432,GOP +14
64570:180,-40.3669724771,-33.5632183908,-36.9650954339,DFL +37
58000:830,-57.2851805729,-58.2232893157,-57.7542349443,DFL +58
47352:95,-22.2222222222,-32.6086956522,-27.4154589372,DFL +27
9748:30,9.91596638655,-2.16666666667,3.87464985994,GOP +4
54646:150,-7.45341614907,-32.5153374233,-19.9843767862,DFL +20
51082:185,1.63447251114,-10.4565537555,-4.41104062219,DFL +4
22508:540,-18.4638109306,-13.5135135135,-15.988662222,DFL +16
17378:40,-1.57004830918,-23.2696897375,-12.4198690233,DFL +12
20204:180,-36.1111111111,-28.7671232877,-32.4391171994,DFL +32
11350:20,-0.543900543901,-11.8631178707,-6.20350920731,DFL +6
11350:21,0.30959752322,-12.7819548872,-6.236178682,DFL +6
1648:10,-12.5,-20.8333333333,-16.6666666667,DFL +17
27404:135,19.4630872483,-13.3333333333,3.06487695749,GOP +3
19286:115,8.06100217865,1.26315789474,4.66208003669,GOP +5
38258:90,-25.0,-41.6666666667,-33.3333333333,DFL +33
10468:10,0.0,-30.7692307692,-15.3846153846,DFL +15
65254:275,-6.55737704918,8.06451612903,0.753569539926,GOP +1
22814:4630,-20.2764976959,-28.773168579,-24.5248331374,DFL +25
43864:155,18.7624750499,-18.6069651741,0.0777549378854,EVEN
838:65,12.0743034056,-23.9393939394,-5.93254526691,DFL +6
68296:80,-2.34857849197,-16.9117647059,-9.63017159892,DFL +10
27899:881,-51.0204081633,-34.693877551,-42.8571428571,DFL +43
41750:60,27.5,-6.15942028986,10.6702898551,GOP +11
63040:115,19.512195122,-3.61445783133,7.94886864531,GOP +8
32966:95,-27.7777777778,-29.3333333333,-28.5555555556,DFL +29
5023:50,37.1841155235,-6.3829787234,15.4005684,GOP +15
20006:90,1.69491525424,-0.840336134454,0.427289559892,EVEN
6688:15,37.3029772329,-3.30434782609,16.9993147034,GOP +17
46798:66,-7.29961832061,-8.87134231305,-8.08548031683,DFL +8
6688:10,26.2729124236,-8.92494929006,8.67398156678,GOP +9
46798:65,-6.49441340782,-9.19067215364,-7.84254278073,DFL +8
54214:2590,-43.2003626473,-37.5053763441,-40.3528694957,DFL +40
