"SLDLST10,C,3","LTR06,N,32,10","LTD06,N,32,10","LOT06,N,32,10"
"17B",388,411,800
"17B",668,761,1432
"17B",970,1123,2096
"17B",242,443,687
"17B",142,188,331
"17B",128,146,275
"17B",242,222,464
"17B",178,219,397
"17B",209,225,435
"17B",762,840,1604
"17B",0,0,0
"17B",219,198,418
"17B",145,172,317
"17B",640,647,1287
"17B",324,322,646
"17B",357,359,719
"17B",48,44,92
"17B",675,616,1292
"17B",593,490,1084
"17B",971,910,1884
"17B",570,489,1060
"17A",730,757,1490
"17A",509,561,1072
"17A",472,430,902
"17A",436,429,865
"17A",210,263,473
"17A",389,392,781
"17A",195,181,377
"17A",363,288,651
"17A",347,334,681
"17A",668,676,1345
"17A",903,909,1814
"17A",622,389,1012
"17A",411,490,902
"17A",413,382,795
"17A",561,575,1136
"17A",566,695,1265
"17A",573,451,1026
"17A",466,437,903
"17A",0,0,0
"10B",85,63,148
"10B",101,53,154
"10B",136,102,238
"10B",18,3,21
"10B",65,24,89
"10B",60,58,118
"10B",61,73,134
"10B",86,45,131
"10B",58,27,85
"10B",126,55,181
"10B",88,25,113
"10B",50,27,77
"10B",192,78,270
"10B",136,53,189
"10B",65,62,127
"10B",94,59,153
"10B",44,77,121
"10B",290,150,440
"10B",55,42,97
"10B",129,68,197
"10B",60,76,136
"10B",194,143,337
"10B",256,211,467
"10B",54,82,136
"10B",84,61,145
"10B",227,165,392
"10B",94,35,129
"10B",48,50,98
"10B",154,95,249
"10B",201,126,327
"10B",266,202,470
"10B",85,63,148
"10B",169,63,232
"10B",189,101,290
"10B",163,67,230
"10B",94,44,138
"10B",233,208,442
"10B",97,63,161
"10B",657,317,974
"10B",301,110,411
"10B",266,89,355
"10B",209,60,269
"10B",17,16,33
"10B",55,49,104
"10B",24,11,35
"10B",39,28,67
"10B",21,10,31
"10B",145,58,203
"10B",169,137,306
"10B",43,40,83
"10B",16,21,37
"10B",126,58,184
"10B",46,42,88
"10B",287,276,563
"10B",9,29,38
"10B",80,46,126
"10B",38,67,105
"10B",113,75,189
"10B",110,88,198
"10B",154,144,298
"10B",32,68,100
"10B",145,132,277
"10B",224,152,376
"10B",129,95,224
"10B",293,242,535
"10B",256,161,418
"10B",380,274,655
"10B",317,127,444
"10B",163,46,210
"02A",23,92,115
"02A",2,33,35
"02A",211,207,418
"02A",15,73,88
"02A",14,25,39
"02A",79,163,242
"02A",30,39,69
"02A",9,26,35
"02A",49,53,103
"02A",43,105,148
"02A",60,132,192
"02A",15,25,40
"02A",63,110,173
"02A",60,58,118
"02A",35,152,187
"02A",12,24,36
"02A",59,114,173
"02A",100,171,271
"02A",243,330,573
"02A",12,48,60
"02A",32,74,107
"02A",52,69,121
"02A",37,80,117
"02A",26,50,76
"02A",311,427,741
"02A",30,41,71
"02A",155,266,421
"02A",33,79,112
"02A",139,152,291
"02A",109,133,242
"02A",70,252,322
"02A",77,145,222
"02A",413,631,1045
"02A",37,67,104
"02A",34,21,56
"02A",40,31,71
"02A",24,91,116
"02A",2,1,3
"02A",0,0,0
"02A",28,58,87
"02A",15,45,60
"02A",15,66,81
"02A",13,37,50
"02A",9,40,49
"02A",11,32,43
"02A",21,46,67
"02A",4,29,34
"02A",8,32,40
"02A",15,46,61
"02A",105,419,524
"02A",16,34,50
"02A",37,78,115
"02A",17,90,108
"02A",22,137,159
"02A",48,178,226
"02A",17,44,61
"02A",31,55,86
"02A",32,252,286
"02A",6,55,61
"02A",56,155,212
"02A",66,229,295
"02A",68,279,348
"02A",8,20,28
"02A",15,77,92
"02A",7,37,44
"02A",13,85,98
"02A",15,56,71
"02A",7,97,104
"02A",6,16,22
"02A",21,40,61
"02A",5,17,22
"02A",25,86,111
"02A",13,52,65
"02A",24,52,77
"02A",4,36,40
"02A",3,39,42
"02A",8,37,45
"02A",3,52,56
"02A",16,58,74
"02A",6,20,27
"02A",4,41,45
"02A",9,25,34
"02A",30,71,101
"02A",5,36,41
"02A",10,48,58
"02A",37,275,312
"02A",11,38,49
"02A",8,22,30
"02A",1,66,67
"02A",20,90,110
"02A",1,27,28
"02A",10,33,43
"02A",53,61,114
"02A",65,98,163
"02A",10,76,86
"02A",81,239,320
"02A",177,461,638
"02A",57,137,195
"02A",15,28,43
"02A",35,48,83
"02A",14,48,62
"02A",22,44,66
"02A",104,177,281
"02A",12,18,30
"02A",34,52,86
"02A",11,32,43
"02A",21,45,66
"02A",54,83,137
"02A",32,10,42
"02A",19,46,65
"02A",20,38,58
"02A",0,0,0
"09B",111,639,750
"09B",177,438,615
"09B",0,0,0
"09B",308,754,1062
"09B",236,515,751
"09B",306,526,832
"09B",19,60,79
"09B",6,37,43
