"district","ltr06","ltd06","lot06","ltr08","ltd08","lot08","ltr10","ltd10","lot10"
"39B         ",375.0,498.0,875.0,527.0,603.0,1130.0,417.0,429.0,935.0
"39B         ",488.0,420.0,909.0,595.0,491.0,1087.0,537.0,382.0,964.0
"39B         ",1381.0,939.0,2321.0,1731.0,1017.0,2752.0,1614.0,764.0,2378.0
"39B         ",767.0,825.0,1592.0,947.0,1092.0,2042.0,790.0,686.0,1586.0
"39B         ",1263.0,962.0,2225.0,1391.0,1210.0,2603.0,1260.0,845.0,2237.0
"39B         ",419.0,527.0,946.0,560.0,605.0,1168.0,436.0,407.0,897.0
"39B         ",108.0,88.0,196.0,122.0,104.0,227.0,99.0,80.0,188.0
"39B         ",199.0,351.0,552.0,251.0,434.0,686.0,211.0,313.0,562.0
"39B         ",295.0,457.0,752.0,376.0,578.0,956.0,312.0,316.0,676.0
"39B         ",543.0,621.0,1164.0,631.0,749.0,1384.0,539.0,522.0,1130.0
"39B         ",126.0,94.0,220.0,145.0,141.0,286.0,130.0,84.0,214.0
"39B         ",102.0,99.0,210.0,146.0,99.0,245.0,129.0,83.0,212.0
"39B         ",546.0,1028.0,1575.0,665.0,1155.0,1822.0,518.0,863.0,1491.0
"39B         ",131.0,166.0,297.0,171.0,180.0,351.0,161.0,137.0,298.0
"39B         ",366.0,576.0,943.0,522.0,644.0,1169.0,440.0,476.0,916.0
"39B         ",79.0,153.0,232.0,126.0,191.0,317.0,105.0,125.0,250.0
"39B         ",323.0,453.0,776.0,491.0,550.0,1043.0,441.0,444.0,885.0
"39B         ",514.0,578.0,1093.0,700.0,648.0,1349.0,598.0,439.0,1038.0
"39B         ",1173.0,883.0,2057.0,1347.0,1128.0,2476.0,1211.0,803.0,2107.0
"25A         ",210.0,101.0,311.0,244.0,134.0,378.0,197.0,99.0,297.0
"25A         ",394.0,309.0,704.0,411.0,678.0,1090.0,451.0,357.0,810.0
"25A         ",652.0,502.0,1156.0,890.0,737.0,1628.0,706.0,476.0,1183.0
"25A         ",459.0,339.0,800.0,650.0,555.0,1206.0,500.0,357.0,858.0
"25A         ",324.0,193.0,518.0,379.0,242.0,621.0,318.0,206.0,525.0
"25A         ",547.0,249.0,797.0,708.0,358.0,1066.0,576.0,276.0,852.0
"25A         ",183.0,162.0,345.0,240.0,176.0,418.0,207.0,122.0,329.0
"25A         ",236.0,142.0,379.0,245.0,262.0,507.0,248.0,151.0,399.0
"25A         ",939.0,737.0,1677.0,1371.0,1037.0,2411.0,1147.0,745.0,1893.0
"25A         ",357.0,216.0,573.0,464.0,223.0,688.0,406.0,154.0,561.0
"25A         ",330.0,249.0,579.0,437.0,304.0,742.0,386.0,211.0,597.0
"25A         ",257.0,214.0,471.0,405.0,252.0,658.0,317.0,163.0,480.0
