"sldust10","ltr06","ltd06","lot06","ltr08","ltd08","lot08","ltr10","ltd10","lot10"
"017",388.0,411.0,800.0,504.0,588.0,1092.0,492.0,328.0,888.0
"017",730.0,757.0,1490.0,1045.0,811.0,1971.0,851.0,512.0,1425.0
"017",509.0,561.0,1072.0,789.0,562.0,1423.0,632.0,348.0,1035.0
"017",472.0,430.0,902.0,662.0,475.0,1173.0,534.0,370.0,938.0
"017",668.0,761.0,1432.0,843.0,1089.0,1936.0,848.0,563.0,1534.0
"017",970.0,1123.0,2096.0,1297.0,1607.0,2906.0,1268.0,782.0,2223.0
"017",242.0,443.0,687.0,324.0,596.0,920.0,322.0,303.0,693.0
"017",142.0,188.0,331.0,198.0,235.0,435.0,206.0,117.0,357.0
"017",128.0,146.0,275.0,193.0,280.0,473.0,201.0,129.0,360.0
"017",242.0,222.0,464.0,299.0,328.0,627.0,266.0,208.0,508.0
"017",178.0,219.0,397.0,286.0,365.0,651.0,243.0,159.0,443.0
"017",209.0,225.0,435.0,259.0,329.0,588.0,218.0,220.0,465.0
"017",762.0,840.0,1604.0,937.0,1101.0,2041.0,890.0,549.0,1552.0
"017","","","","","","","","",""
"017",436.0,429.0,865.0,594.0,492.0,1119.0,477.0,374.0,884.0
"017",219.0,198.0,418.0,265.0,253.0,518.0,240.0,167.0,436.0
"017",145.0,172.0,317.0,155.0,206.0,361.0,120.0,127.0,274.0
"017",640.0,647.0,1287.0,769.0,893.0,1664.0,665.0,516.0,1284.0
"017",324.0,322.0,646.0,483.0,481.0,966.0,469.0,279.0,825.0
"017",357.0,359.0,719.0,468.0,491.0,961.0,406.0,296.0,768.0
"017",210.0,263.0,473.0,275.0,264.0,568.0,219.0,186.0,423.0
"017",48.0,44.0,92.0,48.0,49.0,97.0,53.0,33.0,90.0
"017",675.0,616.0,1292.0,903.0,799.0,1708.0,823.0,442.0,1381.0
"017",389.0,392.0,781.0,542.0,408.0,978.0,447.0,354.0,830.0
"017",195.0,181.0,377.0,277.0,216.0,505.0,217.0,132.0,359.0
"017",363.0,288.0,651.0,534.0,322.0,880.0,451.0,195.0,664.0
"017",347.0,334.0,681.0,450.0,386.0,856.0,377.0,283.0,679.0
"017",668.0,676.0,1345.0,971.0,834.0,1850.0,751.0,579.0,1377.0
"017",903.0,909.0,1814.0,1120.0,1086.0,2257.0,832.0,842.0,1720.0
"017",622.0,389.0,1012.0,807.0,421.0,1262.0,646.0,273.0,952.0
"017",411.0,490.0,902.0,712.0,719.0,1489.0,524.0,479.0,1053.0
"017",413.0,382.0,795.0,561.0,453.0,1043.0,455.0,305.0,781.0
"017",561.0,575.0,1136.0,706.0,687.0,1424.0,584.0,490.0,1103.0
"017",566.0,695.0,1265.0,1051.0,981.0,2094.0,753.0,572.0,1418.0
"017",573.0,451.0,1026.0,739.0,531.0,1303.0,597.0,408.0,1042.0
"017",466.0,437.0,903.0,613.0,564.0,1212.0,493.0,342.0,877.0
"017",593.0,490.0,1084.0,666.0,699.0,1368.0,632.0,423.0,1138.0
"017","","","","","","","","",""
"017",971.0,910.0,1884.0,1161.0,1341.0,2504.0,1082.0,748.0,1985.0
"017",570.0,489.0,1060.0,667.0,673.0,1346.0,590.0,416.0,1113.0
"009",111.0,639.0,750.0,175.0,794.0,970.0,161.0,448.0,609.0
"009",177.0,438.0,615.0,229.0,455.0,685.0,263.0,256.0,520.0
"009","","","","","","","","",""
"009",308.0,754.0,1062.0,426.0,919.0,1346.0,445.0,503.0,949.0
"009",236.0,515.0,751.0,302.0,589.0,892.0,312.0,283.0,595.0
"009",306.0,526.0,832.0,399.0,610.0,1012.0,436.0,325.0,761.0
"009",469.0,386.0,855.0,743.0,543.0,1289.0,546.0,362.0,909.0
"009",19.0,60.0,79.0,19.0,80.0,99.0,17.0,45.0,62.0
"009",6.0,37.0,43.0,13.0,47.0,60.0,15.0,29.0,44.0
"009",48.0,230.0,278.0,78.0,348.0,426.0,84.0,175.0,259.0
"009",30.0,209.0,239.0,43.0,282.0,325.0,50.0,140.0,190.0
"009",14.0,93.0,107.0,27.0,103.0,130.0,22.0,71.0,93.0
"009",45.0,270.0,315.0,67.0,413.0,480.0,83.0,211.0,294.0
"009",38.0,23.0,61.0,50.0,32.0,82.0,35.0,19.0,54.0
"009",42.0,179.0,221.0,63.0,217.0,280.0,94.0,134.0,228.0
"009",24.0,122.0,146.0,28.0,145.0,173.0,32.0,96.0,128.0
"009",24.0,127.0,151.0,32.0,166.0,199.0,33.0,98.0,131.0
"009",135.0,1042.0,1179.0,226.0,1502.0,1728.0,226.0,851.0,1077.0
"009",38.0,150.0,188.0,60.0,173.0,233.0,66.0,110.0,176.0
"009",56.0,32.0,88.0,70.0,31.0,101.0,40.0,25.0,65.0
"009",27.0,11.0,38.0,33.0,11.0,44.0,25.0,10.0,35.0
"009",19.0,15.0,34.0,19.0,30.0,49.0,14.0,17.0,31.0
"009",32.0,23.0,55.0,34.0,19.0,53.0,29.0,10.0,39.0
"009",22.0,111.0,133.0,26.0,142.0,168.0,39.0,88.0,127.0
"009",52.0,27.0,79.0,62.0,33.0,95.0,45.0,21.0,66.0
"009",65.0,358.0,423.0,92.0,531.0,623.0,105.0,283.0,388.0
"009",19.0,54.0,73.0,23.0,79.0,102.0,29.0,44.0,73.0
"009",29.0,176.0,206.0,49.0,198.0,248.0,52.0,116.0,169.0
"009",17.0,113.0,130.0,33.0,144.0,177.0,33.0,87.0,120.0
