district,ltr06,ltd06,lot06,ltr08,ltd08,lot08,ltr10,ltd10,lot10
08,66.0,85.0,152.0,109.0,104.0,213.0,138.0,273.0,478.0
58,709.0,588.0,1297.0,1050.0,925.0,1980.0,439.0,849.0,1290.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05,39.0,159.0,200.0,54.0,122.0,184.0,103.0,45.0,148.0
58,365.0,286.0,652.0,450.0,354.0,806.0,196.0,408.0,604.0
58,569.0,309.0,879.0,810.0,451.0,1262.0,267.0,665.0,932.0
22,49.0,28.0,77.0,58.0,21.0,79.0,13.0,58.0,71.0
15,251.0,178.0,430.0,259.0,268.0,527.0,173.0,229.0,402.0
10,243.0,267.0,510.0,205.0,409.0,615.0,293.0,208.0,501.0
01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,31.0,31.0,6.0,28.0,34.0,23.0,9.0,32.0
22,4.0,4.0,8.0,4.0,2.0,6.0,0.0,4.0,4.0
10,253.0,358.0,612.0,268.0,577.0,846.0,374.0,238.0,613.0
32,388.0,411.0,800.0,504.0,588.0,1092.0,328.0,492.0,888.0
10,0.0,20.0,20.0,7.0,22.0,29.0,13.0,10.0,23.0
10,494.0,480.0,974.0,469.0,785.0,1256.0,565.0,468.0,1034.0
23,79.0,58.0,137.0,90.0,65.0,155.0,21.0,88.0,123.0
09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,231.0,629.0,917.0,344.0,781.0,1129.0,534.0,275.0,809.0
10,0.0,694.0,712.0,412.0,567.0,985.0,359.0,373.0,733.0
02,372.0,449.0,822.0,450.0,477.0,927.0,367.0,429.0,796.0
10,0.0,316.0,325.0,245.0,252.0,498.0,149.0,247.0,396.0
10,0.0,137.0,141.0,54.0,125.0,179.0,76.0,65.0,143.0
04,111.0,639.0,750.0,175.0,794.0,970.0,448.0,161.0,609.0
10,0.0,76.0,76.0,30.0,68.0,98.0,43.0,28.0,71.0
10,0.0,19.0,19.0,3.0,18.0,21.0,14.0,7.0,21.0
10,0.0,19.0,19.0,6.0,16.0,22.0,7.0,8.0,15.0
