District,pvi06,pvi08,pvi10,pvi,rpvi
53B,7.7044468241,8.52538710839,9.7491885512,8.65967416123,GOP + 9
53A,-0.277974600752,-4.70033120094,12.671594509,2.56442956909,GOP + 3
37A,-1.16850431448,4.62502798299,21.10068793,8.18573719949,GOP + 8
37B,96.9163297471,-5.23046747303,16.3371876166,36.0076832969,GOP + 36
29B,-0.640735227493,-23.2436813048,-6.75989085948,-10.2147691306,DFL + 10
29A,15.8027600135,12.599496845,22.1515066179,16.8512544921,GOP + 17
41A,19.1436138905,5.33974596128,2.91532157934,9.13289381038,GOP + 9
12A,-9.27703523694,-29.9783039336,-15.3072421361,-18.1875271022,DFL + 18
26A,12.9429317419,-13.9056175338,-24.6303201749,-8.53100198893,DFL + 9
02A,-38.7199787107,-27.445362099,-12.1193895196,-26.0949101097,DFL + 26
41B,6.81286048769,-5.54814985061,4.98642167909,2.08371077206,GOP + 2
02B,-7.966775854,-8.31155778894,4.85430874148,-3.80800830049,DFL + 4
67A,-55.5091551558,-56.5307481684,-43.5534394186,-51.8644475809,DFL + 52
67B,-44.6878535431,-43.1669365627,-41.1529411765,-43.0025770941,DFL + 43
54B,-7.31919837351,-22.4627682352,-13.6626809314,-14.4815491801,DFL + 14
54A,-29.3345154319,-14.8718875683,-18.7666923853,-20.9910317952,DFL + 21
40B,-36.0960818122,-31.3872697599,-19.4810032282,-28.9881182668,DFL + 29
40A,-6.48174557901,-11.9492077274,3.53664019182,-4.96477103819,DFL + 5
13B,-8.66713366873,-7.58061970645,5.2683504341,-3.65980098036,DFL + 4
28A,-3.03475281449,3.83496557743,26.4069264069,9.06904638995,GOP + 9
28B,21.8478397783,9.5516372796,30.3577512777,20.5857427785,GOP + 21
13A,39.0697674419,16.8284458976,98.441478281,51.4465638735,GOP + 51
08B,-4.80857781871,-1.63074232214,12.2515891603,1.93742300647,GOP + 2
30B,-3.79998923516,-11.1894164194,4.80795202852,-3.39381787534,DFL + 3
01A,-8.04126625212,-5.03630286966,17.419261614,1.44723083076,GOP + 1
01B,-14.3076279459,-17.7594366848,1.01299103,-10.3513578669,DFL + 10
30A,-5.71683124211,-23.7873830435,-10.4168352894,-13.307016525,DFL + 13
49A,20.746377217,18.7862010221,38.2818791946,25.9381524779,GOP + 26
49B,8.80010982976,-13.3812580231,2.86371237458,-0.572478606254,DFL + 1
21B,9.53551559063,2.96375747996,98.3050847458,36.9347859388,GOP + 37
21A,21.5148031043,34.2599887451,27.1599229287,27.644904926,GOP + 28
09A,17.6879390226,18.1786304664,19.8995420298,18.5887038396,GOP + 19
09B,-54.0668348045,-49.8628086805,-23.7203758239,-42.5500064363,DFL + 43
39B,-43.528221005,-46.9080754853,-26.5005662514,-38.9789542472,DFL + 39
66B,-56.4493845767,-56.7783794331,-56.7847882455,-56.6708507518,DFL + 57
66A,-55.3907660562,-54.0383795309,-42.7989525749,-50.7426993874,DFL + 51
64A,-47.8654817913,-55.2286060155,-57.356816867,-53.4836348912,DFL + 53
64B,-42.1989975472,-43.8801851522,-38.8768898488,-41.6520241827,DFL + 42
51A,-7.90655884996,2.848891282,9.71073012511,1.55102085238,GOP + 2
51B,-19.3837457779,-23.8551709027,-8.01977276081,-17.0862298138,DFL + 17
43B,-5.88339014929,-9.54005067238,-1.45673196132,-5.626724261,DFL + 6
43A,5.17561112672,8.8214119341,15.7270871143,9.90803672505,GOP + 10
17A,1.11492281304,9.55269791088,15.9225512528,8.86339065892,GOP + 9
38A,-0.376088677751,-5.04028296325,5.37307240163,-0.0144330797912,EVEN
38B,0.99299421261,-2.48040527624,4.01473526474,0.842441400369,GOP + 1
24A,32.8086275035,23.2205233923,26.342764867,27.4573052543,GOP + 27
24B,8.78281622912,2.46052697116,40.5781934724,17.2738455576,GOP + 17
10B,21.8963077319,16.4757753902,32.6813678492,23.6844836571,GOP + 24
10A,12.2018578961,11.0418213314,28.5742328077,17.272637345,GOP + 17
04B,5.08812421318,7.4868101499,18.2688914654,10.2812752762,GOP + 10
04A,-33.8441302203,-8.08132407029,-6.45715857516,-16.1275376219,DFL + 16
58B,-56.3020214031,-67.513270174,-61.8816458622,-61.8989791464,DFL + 62
58A,-57.1990320629,-64.4051335414,-58.3662561004,-59.9901405683,DFL + 60
44B,-38.7919075145,-33.857615894,-29.3594197599,-34.0029810561,DFL + 34
44A,-40.328489437,-36.8418739562,-30.6683480454,-35.9462371462,DFL + 36
52A,11.0466452206,34.6407591505,34.5266507558,26.7380183756,GOP + 27
52B,3.73883928571,11.3235405467,21.0523867126,12.038255515,GOP + 12
26B,-3.94832871114,-15.6003204761,-1.16163546045,-6.90342821591,DFL + 7
42A,-10.1159580342,-16.6052834993,0.619177130953,-8.70068813419,DFL + 9
42B,28.1657669816,14.6896023163,35.1769151494,26.0107614824,GOP + 26
36B,11.8211382114,12.1621089908,31.7178733636,18.5670401886,GOP + 19
12B,-3.49255880941,-0.378128265088,14.0969442856,3.40875240371,GOP + 3
36A,22.9515669516,25.7751696009,31.3005733884,26.6757699803,GOP + 27
57B,13.5703754111,14.54513707,31.0315789474,19.7156971428,GOP + 20
57A,-27.0986745214,-17.1090281204,3.18031168465,-13.6757969857,DFL + 14
27A,-1.67963224894,-15.406869707,0.380659810338,-5.56861404854,DFL + 6
27B,-12.79968298,-32.0782041999,-15.4079219628,-20.0952697142,DFL + 20
11A,25.8734870975,34.9154469234,28.0217099646,29.6035479952,GOP + 30
11B,-21.221245333,-4.91705572663,16.7639807967,-3.12477342099,DFL + 3
03B,-97.2337482711,-15.5303789854,2.26452047249,-36.8332022613,DFL + 37
03A,-25.9973492379,-25.6865464632,-18.2361941856,-23.3066966289,DFL + 23
