"STATEFP10,C,2","SLDLST10,C,3","GEOID10,C,5","leg06pvi,N,24,16","leg08pvi,N,24,16","leg10pvi,N,24,16","pvi,N,24,16"
"27","17B","2717B",2.3877711749,5.5921687578,-22.0304639463,-4.6835080046
"27","17A","2717A",4.5641543119,10.1798207806,-22.6942352602,-2.6500867226
"27","10B","2710B",11.0421232043,10.2504804404,-27.0795284742,-1.9289749432
"27","02A","2702A",-28.7543744953,-21.0078639063,1.6378872524,-16.041450383
"27","09B","2709B",-25.4407165198,-19.0649029413,2.3923984076,-14.0377403512
"27","03A","2703A",-34.9941646467,-20.9470592449,10.2933356966,-15.2159627317
"27","24A","2724A",32.1716287215,24.5762285599,-31.6483108526,8.3665154763
"27","22A","2722A",11.282323769,11.9133203245,-16.2566625666,2.3129938423
"27","55A","2755A",-30.5374552937,-30.2214153362,20.1726463448,-13.5287414284
"27","66B","2766B",-50.4621182664,-46.2547368899,47.0425315166,-16.5581078799
"27","54B","2754B",-8.0065128133,-12.4082910545,5.7622064853,-4.8841991275
"27","02B","2702B",-10.8744601528,-4.3992080188,-5.9224901292,-7.0653861003
"27","01B","2701B",-15.6980157332,-16.3131900058,-1.7699115044,-11.2603724145
"27","01A","2701A",-9.1330784179,-7.0437017995,-15.1116273067,-10.4294691747
"27","53B","2753B",5.5973907621,4.1280864198,-12.4232977039,-0.8992735073
"27","64B","2764B",-43.7870873752,-45.4924208847,42.1142080218,-15.721766746
"27","64A","2764A",-54.7286821705,-56.7300741868,57.4589930295,-17.9999211093
"27","65B","2765B",-52.9536319265,-50.192698297,48.7064544315,-18.146625264
"27","67B","2767B",-45.0746268657,-41.6333175066,34.1635261347,-17.5148060792
"27","67A","2767A",-48.5426964377,-48.0580572531,38.025055269,-19.5252328073
"27","65A","2765A",-57.7970011534,-57.14453125,56.8013552516,-19.3800590506
"27","66A","2766A",-49.3618839109,-47.9881327647,41.3467115184,-18.6677683857
"27","55B","2755B",-23.832906515,-23.270405636,10.7513287579,-12.1173277977
"27","50B","2750B",-11.645966311,-13.5354214527,4.7148882225,-6.8221665137
"27","50A","2750A",-27.64528139,-27.0689619022,18.7278745143,-11.9954562593
"27","51B","2751B",-18.4496730168,-20.0674677298,7.9128007845,-10.201446654
"27","53A","2753A",1.3549633472,1.0293482952,-13.0134398446,-3.5430427341
"27","54A","2754A",-34.4234234234,-29.6794540563,28.4621940249,-11.8802278183
