"ID,N,12,0","DATA,N,12,0","DISTRICT,C,12","leg06pvi,N,24,16","mnleg08pvi,N,24,16","mnleg10pvi,N,24,16","pvi,N,24,16"
406205,78,"39B",-1.4548343168,2.0810053307,-12.4009708293,-3.9249332718
406249,49,"25A",13.8469765843,4.6505112761,-18.1492606285,0.116075744
406277,41,"21A",1.8068507891,4.8461455988,-27.8152786183,-7.0540940768
406294,50,"25B",1.9080024119,-11.8318338185,-0.1280292638,-3.3506202235
406320,42,"21B",9.7562830311,1.8402872055,-23.4705003433,-3.9579767022
406341,73,"37A",-7.1813022875,-13.0183028286,-0.0366950034,-6.7454333732
406378,74,"37B",-3.8741352377,-0.7962042183,-9.6633334789,-4.7778909783
406411,83,"42A",-6.4349733918,-9.4087932647,-1.4283993737,-5.7573886768
406444,62,"31B",14.1581381618,21.1821129687,-33.6060290545,0.5780740253
406479,76,"38B",7.1128065395,7.5729251173,-15.15690679,-0.1570583777
406510,75,"38A",6.5604151223,14.3099362247,-23.2621666307,-0.7972717612
406544,77,"39A",8.080416303,19.596258001,-26.1933553971,0.4944396356
406589,64,"32B",3.5763024805,6.2088370799,-23.3781506017,-4.5310036804
406617,63,"32A",0.8950503045,5.3347070057,-17.794420643,-3.8548877776
406643,22,"11B",-10.0045065345,-5.9595642975,-8.8940605079,-8.28604378
406667,15,"08A",9.9120433018,11.7293981098,-28.5100348103,-2.2895311329
406684,8,"04B",-23.6846850096,-17.7779575983,2.1196349099,-13.1143358993
406724,4,"02B",-16.3865691812,-10.2457477836,-8.4716995056,-11.7013388235
406753,2,"01B",-20.9776177,-15.8929318277,-0.6194237654,-12.4966577644
406780,16,"08B",11.6655980623,14.6658380882,-31.7452726069,-1.8046121521
406814,17,"09A",1.2358184765,-0.440384929,-18.2469196476,-5.8171620334
406835,3,"02A",-8.055139764,-2.0506460545,-8.269278896,-6.1250215715
406865,1,"01A",-9.8272197089,-8.3048140543,-13.6022566996,-10.5780968209
406889,19,"10A",-1.1991614256,-15.4737291195,1.1880122527,-5.1616260975
476560,10,"05B",-44.0793665241,-8.2915502911,-2.6237884748,-18.33156843
476597,20,"10B",-24.6910777414,-14.4780890533,-0.9622316251,-13.3771328066
476628,9,"05A",-22.7119079201,-3.6842812962,-1.5587009378,-9.318296718
476664,21,"11A",-44.2208308487,-34.0845609336,22.3917653753,-18.637875469
476692,11,"06A",-53.2908434247,-39.3139841689,32.2148242868,-20.1300011023
476717,12,"06B",-60.7673167991,-50.7500569458,35.5464719422,-25.3236339342
476751,56,"28B",-1.2208405192,0.3537691468,-21.019875527,-7.2956489665
476768,55,"28A",-24.088732532,-23.479860217,3.3183381847,-14.7500848548
476786,14,"07B",-67.4147432314,-41.6439539088,33.3830164357,-25.2252269015
476814,6,"03B",-55.7849518355,-35.2853213211,26.5859842643,-21.4947629641
476851,13,"07A",-47.5430292599,-34.9038260193,29.3989894513,-17.6826219426
476877,5,"03A",-66.9953031778,-38.8741526673,27.9147416236,-25.9849047405
154478,7,"04A",7.9690965019,9.4254296187,-12.9937923251,1.4669112652
154503,44,"22B",4.9558064681,17.4297583419,-36.1324878409,-4.582307677
154531,45,"23A",25.7285134637,23.5123484146,-34.4033496162,4.9458374207
154555,43,"22A",12.1462024028,16.1709792207,-16.5251806814,3.9306669807
154579,31,"16A",0.4788732394,5.0771333724,-8.8672449653,-1.1037461178
154613,23,"12A",2.8095619853,12.5974480542,-20.1556041819,-1.5828647141
154635,32,"16B",12.244096421,8.5080147965,-67.0686787072,-15.4388558299
154659,33,"17A",-9.0455753117,-17.2377063732,-9.1253552258,-11.8028789702
154697,34,"17B",-5.8693689174,-8.5109933664,-14.8869212716,-9.7557611852
154715,24,"12B",23.2884512326,13.1210121612,-55.6996587031,-6.4300651031
154756,35,"18A",4.0993690226,12.1257098606,-44.0354374308,-9.2701195159
154786,25,"13A",0.1423842238,-10.4653879098,-10.1487851488,-6.8239296116
154818,46,"23B",6.3020451669,-0.6742882513,-26.690571915,-7.0209383331
154853,53,"27A",0.0977473675,-11.4066516084,-6.2033999404,-5.8374347271
154871,54,"27B",-10.8133521392,-28.2897366434,12.4152046784,-8.8959613681
154890,51,"26A",-3.8731002767,-19.9590526782,5.2241043322,-6.2026828742
154926,52,"26B",4.2230556008,-6.4595344864,-7.3058978012,-3.1807922289
154969,37,"19A",-9.181038605,-22.6896374389,-0.1217677817,-10.6641479419
155004,38,"19B",-17.0945487446,-24.7860420887,3.4645268119,-12.8053546738
155028,36,"18B",15.6064432462,19.4186078043,-53.733517326,-6.2361554252
155057,39,"20A",14.3672692674,15.9379176142,-16.0147556477,4.763477078
155087,47,"24A",12.006603632,-10.4504432553,15.6441081977,5.7334228581
155103,40,"20B",3.0208565279,-0.7857349957,-1.9967415603,0.0794599907
155120,93,"47A",30.8146883006,31.2753138923,-37.2697905219,8.2734038903
155149,94,"47B",26.4570640303,26.1793317659,-60.1605433776,-2.5080491938
155183,65,"33A",44.63464997,25.533698915,-34.6113769272,11.852323986
240727,67,"34A",17.6735776844,19.4406328878,-29.5271178844,2.5290308959
240773,68,"34B",12.9325660948,12.0604922487,-20.0413990765,1.650553089
240808,79,"40A",-21.9445216908,-24.1844463145,13.3174614984,-10.9371688356
240834,72,"36B",-11.6020187455,-14.1864677677,6.3494459708,-6.4796801808
240869,71,"36A",-1.3030087657,-7.4504416094,-3.9810298103,-4.2448267285
240903,69,"35A",14.1744767811,15.9401191292,-26.7603639325,1.1180773259
240933,70,"35B",20.6075673467,13.0572504219,-28.3715611758,1.7644188643
240970,61,"31A",12.5224847104,19.9427655678,-31.0382480512,0.475667409
240995,29,"15A",4.7111047469,8.5052938634,-20.9961902074,-2.5932638657
241020,48,"24B",3.9852304558,-8.8225313879,-3.9308245467,-2.9227084929
241040,115,"58A",18.1479800272,21.8234958028,-31.1440248109,2.942483673
241062,112,"56B",8.562953928,8.2954191337,-20.9330980985,-1.3582416789
241093,100,"50B",-21.1547217922,-24.2879543167,11.9866988738,-11.1519924117
241121,113,"57A",26.8909363617,6.1846167038,-21.5567989742,3.8395846971
241149,101,"51A",-8.1273819148,-10.4000876905,-1.1024331631,-6.5433009228
241179,102,"51B",13.128231206,-3.3941415616,-8.4021583526,0.4439770973
241201,114,"57B",43.3789187191,-3.2511185041,-14.9880239521,8.379925421
241233,99,"50A",-28.0440184594,-33.8170504045,24.4332407312,-12.4759427109
241259,122,"61B",-59.0220931256,-56.1896904258,54.4074993619,-20.2680947298
241298,121,"61A",-53.4371920604,-54.0002173047,50.2314070041,-19.0686674537
241339,124,"62B",-71.6976001088,-61.2924367545,69.008542767,-21.3271646988
241367,123,"62A",-72.1239551101,-67.177351689,67.4208588957,-23.9601493011
241393,126,"63B",-50.6040866321,-49.7203604243,44.6338011558,-18.5635486336
241429,125,"63A",-64.7186774942,-61.6462103876,63.8533231474,-20.8371882448
207085,110,"55B",19.2468323069,20.164418754,-35.5175006836,1.2979167924
207112,109,"55A",16.1858825712,16.0841175341,-40.7189157336,-2.8163052095
207139,111,"56A",4.840387231,5.5588183473,-18.9311449159,-2.8439797792
207168,66,"33B",30.8736087818,22.4318860114,-45.3473846055,2.6527033959
207203,96,"48B",22.817237761,12.9566474777,-34.3149525142,0.4863109082
207225,95,"48A",0.3025440004,-4.0038979747,-14.1436464088,-5.9483334611
