District,PVI,RPVI
15,23.52884615,R+24
24,5.384615385,R+5
56,10.87179487,R+11
51,-3.395348837,D+3
57,7.568181818,R+8
50,-18.63636364,D+19
61,-53.15686275,D+53
62,-67.28888889,D+67
63,-54.5,D+55
59,-54.97619048,D+55
60,-50.8,D+51
41,-21.96153846,D+22
64,-49.81132075,D+50
52,-17.98148148,D+18
65,-52.14814815,D+52
66,-40.44897959,D+40
42,12.56603774,R+13
58,15.25714286,R+15
54,10.72727273,R+11
67,-40.72340426,D+41
53,-9.928571429,D+10
43,-14.44444444,D+14
25,8.783333333,R+9
21,12.45299145,R+12
37,-1.347826087,D+1
31,41.54385965,R+42
32,31.40740741,R+31
38,11,R+11
39,8.109090909,R+8
4,-15.65289256,D+16
8,15.73469388,R+16
9,18.68965517,R+19
2,1.072796935,R+1
1,-0.809210526,D+1
10,-2.547770701,D+3
5,2.50877193,R+3
11,0.753846154,R+1
6,-30.07741935,D+30
28,1.1875,R+1
7,-36.84090909,D+37
3,-20.12883436,D+20
22,16.64125561,R+17
16,16.62121212,R+17
12,14,R+14
17,2.785310735,R+3
13,23.32941176,R+23
23,18.99479167,R+19
27,-4.963636364,D+5
26,4.445945946,R+4
19,9.768292683,R+10
18,23.79508197,R+24
20,6.1875,R+6
47,49.24137931,R+49
33,51.81428571,R+52
55,22.68181818,R+23
48,24.77358491,R+25
44,1.406779661,R+1
49,-9.133333333,D+9
46,-23.18867925,D+23
45,-13.47058824,D+13
40,-22.97674419,D+23
14,2.877192983,R+3
29,43.80357143,R+44
30,28.52941176,R+29
34,16.03846154,R+16
36,-3.93877551,D+4
35,17.87804878,R+18
