House District,Raw PVI,Readable PVI,Incumbent 1,Incumbent 1 Party,Incumbent 1 First Elected,retiring 1,Incumbent 2,Incumbent 2 Party,Incumbent 2 First Elected,retiring 2,notes
01A,-0.18174469,EVEN,Dan Fabian,R,2010,,,,,,
02A,-3.368047526,DFL + 3,David Hancock,R,2010,,,,,,
02B,-6.048276166,DFL + 6,,,,,,,,,
09A,6.589239352,GOP + 7,,,,,,,,,
09B,3.498285366,GOP + 3,Mike LeMieur,R,2010,,,,,,
11B,-3.049584074,DFL + 3,Bill Hilty,DFL,1996,Yes,Roger Crawford,R,2010,,
12A,7.129283437,GOP + 7,Torrey Westrom,R,1996,Yes,,,,,
14A,8.181502014,GOP + 8,Steve Gottwalt,R,2006,,,,,,
15A,4.248065326,GOP + 4,Sondra Erickson,R,1998,,,,,,
17B,-2.036843924,DFL + 2,Bruce Vogel,R,2010,,,,,,
20B,-7.805174481,DFL + 8,,,,,,,,,
21A,9.567971521,GOP + 10,Tim Kelly,R,2008,,,,,,
24A,-8.531001989,DFL + 9,Kory Kath,DFL,2008,,,,,,
24B,-4.152774144,DFL + 4,Patti Fritz,DFL,2004,,,,,,
25B,-6.850005685,DFL + 7,Kim Norton,DFL,2006,,,,,,
26B,0.376425721,EVEN,Mike Benson,R,2010,,,,,,
27A,-1.968775411,DFL + 2,Rich Murray,R,2010,,,,,,
28B,7.794312032,GOP + 8,Greg Davids,R,1991,,,,,,NONCONSECUTIVE TERMS
32A,4.970880709,GOP + 5,,,,,,,,,
32B,3.795204953,GOP + 4,,,,,,,,,
36A,-9.580956512,DFL + 10,Denise Dittrich,DFL,2004,Yes,,,,,
36B,-7.495329546,DFL + -7,Melissa Hortman,DFL,2004,,,,,,
37B,4.049884046,GOP + 4,Tim Sanders,R,2008,,,,,,
38A,9.796578114,GOP + 10,Linda Runbeck,R,1989,,,,,,NONCONSECUTIVE TERMS
39B,1.907989482,GOP + 2,Kathy Lohmer,R,2010,,,,,,
42A,-5.134333301,DFL + 5,,,,,,,,,
43A,-8.880925766,DFL + 9,,,,,,,,,
44B,-1.577149759,DFL + -2,John Benson,DFL,2006,,,,,,
48A,-3.603993105,DFL + 4,Kirk Stensrud,R,2010,,,,,,
49A,9.13289381,GOP + 9,Keith Downey,R,2008,Yes,,,,,
49B,0.309993861,EVEN,Pat Mazorol,R,2010,,,,,,
51A,-1.84921171,DFL + 2,Diane Anderson,R,2010,,,,,,
51B,0.973857804,GOP + 1,Doug Wardlow,R,2010,,,,,,
53B,3.746727445,GOP + 4,Andrea Kieffer,R,2010,,,,,,
56A,10.34007794,GOP + 10,Pam Myhra,R,2010,,,,,,
56B,6.129868874,GOP + 6,Mary Liz Holberg,R,1998,,,,,,
