District,Raw PVI,Readable PVI,Incumbent 1,Incumbent 1 Party,Incumbent 1 First Elected,retiring 1,Incumbent 2,Incumbent 2 Party,Incumbent 2 First Elected,retiring 2,notes
1,-5.593592912,DFL + 6,LeRoy A. Stumpf,DFL,1982,,,,,,
2,-4.75692146,DFL + 5,Rod Skoe,DFL,2002,,,,,,
9,5.042805761,GOP + 5,,,,,,,,,
13,-2.581260196,DFL + 3,Michelle L. Fischbach,R,1996,,,,,,
14,-3.541384851,DFL + 4,John Pederson,R,2010,,,,,,
17,-7.39446629,DFL + 7,Joe Gimse,R,2006,,Lyle Koenen,DFL,2012,,
20,3.867847744,GOP + 4,,,,,,,,,
24,-6.508912104,DFL + 7,Mike Parry,R,2010,Y,,,,,
25,3.421604171,GOP + 3,David H. Senjem,R,2002,,,,,,
26,-6.02054122,DFL + 6,Carla Nelson,R,2010,,,,,,
28,-8.224277282,DFL + 8,Jeremy R. Miller,R,2010,,,,,,
32,4.367376527,GOP + 4,Sean Nienow,R,2002,,,,,,
36,-8.482653328,DFL + 8,Benjamin Kruse,R,2010,,,,,,
37,-4.6590133,DFL + 5,Pam Wolf,R,2010,,,,,,
39,10.07790338,GOP + 10,Ray Vandeveer,R,2006,,,,,,
42,-10.29053681,DFL + 10,,,,,,,,,
44,8.71842704,GOP + 9,Terri E. Bonoff,DFL,2005,,,,,,
48,10.16215101,GOP + 10,David W. Hann,R,2002,,,,,,
49,4.653397758,GOP + 5,Geoff Michel,R,2002,Y,,,,,
51,-0.469698431,EVEN,Ted Daley,R,2010,,,,,,
53,-7.405128948,DFL + 7,Ted Lillie,R,2010,,,,,,"NOTE: GIS has him in district 39, but his website says he'll run in 53"
54,4.369329923,GOP + 4,Katie Sieben,DFL,2006,,,,,,
56,8.103166322,GOP + 8,Dan Hall,R,2010,,,,,,
5,-16.94454983,DFL + 17,John J. Carlson,R,2010,,Tom Saxhaug,DFL,2002,,
10,-13.81118219,DFL + 14,Paul Gazelka,R,2010,,,,,,
